"Champions\
Caractéristiques";PV;PV+;Dégâts d'att.;Dégâts d'att.+;Vit. d'att.;Vit. d'att.+;Armure de base;Armure+;Résis. Magique de base;Résis. magique+
Aatrox;580;90;70;+3.2;0.651;+3%;33;+3.8;32.1;+1.25
Ahri;526;92;53.04;3;0.668;+2%;20.88;+3.5;30;+0.5
Akali;593;90;58.376;+3.2;0.694;+3.1%;31.38;+3.5;32.1;+1.25
Alistar;613.36;106;61.1116;+3.62;0.625;+2.125%;44;+3.5;32.1;+1.25
Amumu;613.12;84;53.38;+3.8;0.638;+2.18%;33;+3.8;32.1;+1.25
Anivia;480;82;51.376;+3.2;0.625;+1.68%;21.22;4;30;+0.5
Annie;524;88;50.41;+2.625;0.579;+1.36%;19.22;4;30;+0.5
Ashe;527.72;85;61;+2.96;0.658;+3.33%;26;+3.4;30;+0.5
Aurelion Sol;562;92;57;+3.2;0.625;+1.36%;19;+3.6;30;+0.5
Azir;552;92;52;+2.8;0.638;+1.5%;19.04;3;30;+0.5
Bard;535;89;52;3;0.625;+2%;34;4;30;+0.5
Blitzcrank;582.6;95;61.54;+3.5;0.625;+1.13%;44;4;32.1;+1.25
Brand;519.68;88;57.04;3;0.625;+1.36%;21.88;+3.5;30;+0.5
Braum;576.16;87;55.376;+3.2;0.644;+3.5%;47;4;32.1;+1.25
Caitlyn;481;91;58;+2.88;0.568;+4%;28;+3.5;30;+0.5
Camille;575.6;85;68;+3.5;0.625;+2.5%;35;+3.8;32.1;+1.25
Cassiopeia;537;87;53;3;0.647;+1.5%;25;+3.5;30;+0.5
Cho'Gath;574.4;80;69;+4.2;0.625;+1.44%;38;+3.5;32.1;+1.25
Corki;518;87;60;3;0.638;+2.3%;28;+3.5;30;+0.5
Darius;582.24;100;64;5;0.625;+1%;39;4;32.1;+1.25
Diana;594;95;53.04;3;0.625;+2.25%;31;+3.6;32.1;+1.25
Dr. Mundo;582.52;89;61.27;+3.5;0.625;+2.8%;36;+3.5;32.1;+1.25
Draven;574;88;60;+3.61;0.679;+2.7%;29;+3.3;30;+0.5
Ekko;585;85;55;3;0.625;+3.3%;32;3;32;+1.25
Elise;534;85;55;3;0.625;+1.75%;27;+3.35;30;+0.5
Evelynn;572;84;61;3;0.625;+2.1%;37;+3.5;32.1;+1.25
Ezreal;484.4;80;64;+2.41;0.625;+1.5%;31;+3.5;30;+0.5
Fiddlesticks;524.4;80;48.36;+2.625;0.625;+2.11%;30;+3.5;30;+0.5
Fiora;550;85;68;+3.3;0.69;+3.2%;33;+3.5;32.1;+1.25
Fizz;570;98;58.04;3;0.658;+3.1%;22.412;+3.4;32.1;+1.25
Galio;562;112;59;+3.5;0.625;+1.5%;24;+3.5;32.1;+1.25
Gangplank;540;82;64;3;0.658;+3.2%;35;3;32.1;+1.25
Garen;616.28;+84.25;66;+4.5;0.625;+2.9%;36;3;32.1;+1.25
Gragas;583.52;89;61.38;+3.5;0.625;+2.05%;35;+3.6;32.1;+1.25
Gnar;510;65;59;3;0.625;+0%;32;+2.5;30;+0.5
Graves;551.12;84;69;+2.41;0.481;+2.6%;33;+3.4;30;+0.5
Hecarim;580;90;66;+3.2;0.67;+2.5%;36;4;32.1;+1.25
Heimerdinger;488;87;55.536;+2.7;0.625;+1.36%;19.04;3;30;+0.5
Illaoi;585.6;80;68;5;0.571;+2.5%;35;+3.8;32.1;+1.25
Irelia;607.2;90;70;+3.3;0.665;+3.2%;34;+3.75;32.1;+1.25
Ivern;585;95;50;3;0.644;+3.4%;27;+3.5;32.1;+1.25
Janna;500;70;46;+1.5;0.625;+2.95%;28;+3.8;30;+0.5
Jarvan IV;571.2;90;64;+3.4;0.658;+2.5%;34;+3.6;32.1;+1.25
Jax;592.8;85;69.97;+3.375;0.638;+3.4%;36;3;32.1;+1.25
Jayce;576;95;58;+3.5;0.658;+3%;27;+3.5;30;+0.5
Jhin;540;85;61;4;0.625;+2.83%;29;+3.5;30;+0.5
Jinx;515;82;61;+2.41;0.625;+1%;32;+3.5;30;+0.5
Kai'Sa;600;88;59;+1.7;0.644;+1.8%;28;3;30;+0.5
Kalista;517.76;83;71;+2.9;0.644;+2.5%;28;+3.5;30;+0.5
Karma;534;95;53.544;+3.3;0.625;+2.3%;20.384;+3.8;30;+0.5
Karthus;528;87;45.66;+3.25;0.625;+2.11%;20.88;+3.5;30;+0.5
Kassadin;576;90;58.852;+3.9;0.64;+3.7%;19;+2.8;30;+0.5
Katarina;602;94;58;+3.2;0.658;+2.74%;27.88;+3.5;32.1;+1.25
Kayle;586;76;51;+2.2;0.638;+2.2%;26.88;+3.5;30;+0.5
Kennen;541;84;50.544;+3.3;0.69;+3.4%;29;+3.75;30;+0.5
Kha'Zix;572.8;85;63;+3.1;0.668;+2.7%;36;3;32.1;+1.25
Kindred;540;85;65;+2.26;0.625;+2.5%;29;+3.5;30;+0.5
Kled;340;70;65;+3.5;0.625;+3.5%;35;4;32.1;+1.25
LeBlanc;528;92;54.88;+3.5;0.625;+1.4%;21.88;+3.5;30;+0.5
Lee Sin;570.8;85;69.18;+3.2;0.651;+3%;33;+3.7;32.1;+1.25
Leona;576.16;87;60.04;3;0.625;+2.9%;47;+3.6;32.1;+1.25
Lissandra;518;87;53;+2.7;0.625;+1.36%;20.216;+3.7;30;+0.5
Lucian;554.4;80;65;+2.41;0.638;+3.3%;33;3;30;+0.5
Lulu;525;74;46.368;+2.6;0.625;+2.25%;28.22;+3.7;30;+0.5
Lux;490;91;53.54;+3.3;0.625;+1.36%;18.72;4;30;+0.5
Malphite;574.2;90;61.97;+3.375;0.638;+3.4%;37;+3.75;32.1;+1.25
Malzahar;537;87;55;3;0.625;+1.5%;18;+3.5;30;+0.5
Maokai;565;95;63.54;+3.3;0.694;+2.125%;39;4;32.1;+1.25
Maître Yi;598.56;92;68;3;0.679;+2%;33;3;32.1;+1.25
Miss Fortune;530;85;54;1;0.656;+3%;33;3;30;+0.5
Mordekaiser;530;78;61;5;0.601;+2.2%;25;+3.75;32.1;+1.25
Morgana;559.48;90;55.46;+3.5;0.625;+1.53%;25.384;+3.8;30;+0.5
Nami;489.32;74;51.208;+3.1;0.644;+2.61%;29;4;30;+0.5
Nasus;561.2;90;67;+3.5;0.638;+3.48%;34;+3.5;32.1;+1.25
Nautilus;576.48;86;57.544;+3.3;0.613;+1%;39;+3.75;32.1;+1.25
Nidalee;545;85;61;+3.5;0.638;+3.22%;28;+3.5;30;+0.5
Nocturne;582.8;85;67.21;+3.1;0.668;+2.7%;36;+3.5;32.1;+1.25
Nunu et Willump;590;90;67;4;0.625;+2.25%;28;+3.5;32.1;+1.25
Olaf;597.24;93;68;+3.5;0.694;+2.7%;35;3;32.1;+1.25
Orianna;530;91;40.368;+2.6;0.658;+3.5%;17.04;3;30;+0.5
Pantheon;579.16;87;64;+2.9;0.644;+2.95%;37;+3.9;32.1;+1.25
Rakan;510;85;70;+3.5;0.635;+3%;29;+3.9;30;+0.5
Poppy;540;90;64;4;0.625;+2.5%;38;+3.5;32;+1.25
Quinn;532.8;85;62;+2.41;0.668;+3.1%;32;+3.5;30;+0.5
Rammus;564.48;86;55.88;+3.5;0.625;+2.215%;36;+4.3;32.1;+1.25
Rek'Sai;570;85;65.5;+3.35;0.667;+2%;33;+3.75;32.1;+1.25
Renekton;572.16;87;69;+3.1;0.665;+2.65%;35;+3.8;32.1;+1.25
Rengar;586.2;90;68;+1.5;0.625;+3.5%;34;3;32.1;+1.25
Riven;558.48;86;64;3;0.625;+3.5%;33;+3.2;32.1;+1.25
Rumble;589;85;61.036;+3.2;0.644;+1.85%;30.88;+3.5;32.1;+1.25
Ryze;570.48;98;55.04;3;0.625;+2.112%;21.552;3;30;+0.5
Sejuani;560;95;64;3;0.625;+3%;31;4;27.1;+0.75
Shaco;587;89;66;+3.5;0.694;+3%;30;+3.5;32.1;+1.25
Shen;540;85;60;3;0.651;+2%;34;3;32.1;+1.25
Shyvana;595;95;66;+3.4;0.658;+2.5%;38;+3.35;32.1;+1.25
Singed;580;85;62.32;+3.375;0.613;+1.81%;37;+3.5;32.1;+1.25
Sion;542.64;73;68;4;0.679;+1.3%;32;3;32.1;+1.25
Sivir;515.76;82;65;+2.41;0.625;+1.6%;31;+3.25;30;+0.5
Skarner;601.28;90;65;+4.5;0.625;+2.1%;38;+3.8;32.1;+1.25
Sona;482.36;77;46;3;0.644;+2.3%;28;+3.3;30;+0.5
Soraka;529.04;78;50.04;3;0.625;+2.14%;32;+3.8;30;+0.5
Swain;525;90;58;3;0.625;+2.11%;22.72;4;30;+0.5
Syndra;523;90;53.872;+2.9;0.625;+2%;24.712;+3.4;30;+0.5
Talon;588;95;68;+3.1;0.625;+2.9%;32;+3.5;32.1;+1.25
Taliyah;532;90;56;+3.3;0.625;+1.36%;20;3;30;+0.5
Tahm Kench;610;95;56;+3.2;0.658;+2.5%;47;+3.5;32.1;+1.25
Taric;575;90;55;+3.5;0.625;+2%;40;+3.4;32.1;+1.25
Teemo;528;90;54;3;0.69;+3.38%;24.3;+3.75;30;+0.5
Thresh;560.52;93;56;+2.2;0.625;+3.5%;28;+;30;+0.5
Tristana;542.76;82;65;+2.41;0.656;+1.5%;31;3;30;+0.5
Trundle;616.28;96;68;3;0.67;+2.9%;37;+2.7;32.1;+1.25
Tryndamere;625.64;98;69;+;0.67;+2.9%;33;+3.1;32.1;+1.25
Twisted Fate;534;94;49.954;+3.3;0.651;+3.22%;20.542;+3.15;30;+0.5
Twitch;525.08;81;63;+2.41;0.679;+3.38%;32;3;30;+0.5
Udyr;593.32;99;66;+3.2;0.658;+2.67%;34;4;32.1;+1.25
Urgot;585;88;63;4;0.595;+3.75%;39;+4.25;32.1;+1.25
Varus;537.76;82;63;+2.41;0.658;+3%;32;+3.4;30;+0.5
Vayne;498.44;83;64;+1.66;0.658;+3.3%;28;+3.4;30;+0.5
Veigar;505;94;50.71;+2.625;0.625;+2.24%;22.55;+3.75;30;+0.5
Vel'Koz;520;88;54.938;+3.142;0.625;+1.36%;21.88;+3.5;30;+0.5
Vi;582.8;85;64;+3.5;0.625;+2.5%;35;+3.5;32.1;+1.25
Viktor;528.04;90;52.04;3;0.658;+2.11%;22.72;4;30;+0.5
Vladimir;537;96;55;3;0.658;+2%;23;+3.3;30;+0.5
Volibear;584.48;86;68;+3.3;0.658;+2.67%;35;+3.5;32.1;+1.25
Warwick;550;85;66;3;0.638;+2.3%;33;+3.2;32.1;+1.25
Wukong;577.8;85;68;+3.2;0.658;+3%;34;+3.5;32.1;+1.25
Xayah;545;80;64;+2.2;0.625;+3.3%;33;3;30;+0.5
Xerath;526;92;54.7;3;0.625;+1.36%;21.88;+3.5;30;+0.5
Xin Zhao;570;92;66;+3.3;0.645;+3.5%;35;+3.5;32.1;+1.25
Yasuo;523;87;60;+3.2;0.67;+2.5%;30;+3.4;30;+0.5
Yorick;580;100;62;5;0.625;+2%;39;4;32.1;+1.25
Zac;615;95;60;+3.4;0.638;+1.6%;33;+3.5;32.1;+1.25
Zed;584;85;63;+3.4;0.651;+2.1%;32;+3.5;32.1;+1.25
Ziggs;536;92;54.208;+3.1;0.656;+2%;21.544;+3.3;30;+0.5
Zilean;504;82;51.64;3;0.625;+2.13%;24;+3.8;30;+0.5
Zyra;504;79;53.376;+3.2;0.625;+2.11%;29;3;30;+0.5
